batch_ts,host,sql_file,params,sql_hash,status,rows,elapsed_sec,output_file,error_message
20260211,local,oracle/local/A/a1.sql,clsYymm=202301,ebe145cfaecdd2d7a32f100f4d826728,OK,185,0.07,C:/work/batch_runner/data/csv/oracle/local/A/a1_202301.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202302,ebe145cfaecdd2d7a32f100f4d826728,OK,168,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202302.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202303,ebe145cfaecdd2d7a32f100f4d826728,OK,186,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202303.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202304,ebe145cfaecdd2d7a32f100f4d826728,OK,180,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202304.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202305,ebe145cfaecdd2d7a32f100f4d826728,OK,186,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202305.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202306,ebe145cfaecdd2d7a32f100f4d826728,OK,180,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202306.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202307,ebe145cfaecdd2d7a32f100f4d826728,OK,186,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202307.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202308,ebe145cfaecdd2d7a32f100f4d826728,OK,186,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202308.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202309,ebe145cfaecdd2d7a32f100f4d826728,OK,176,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202309.csv.gz,
20260211,local,oracle/local/A/a1.sql,clsYymm=202311,ebe145cfaecdd2d7a32f100f4d826728,OK,120,0.03,C:/work/batch_runner/data/csv/oracle/local/A/a1_202311.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202301,20e6ece6e88dda4dde44d9e193b5ef19,OK,3,0.04,C:/work/batch_runner/data/csv/oracle/local/A/a2_202301.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202302,20e6ece6e88dda4dde44d9e193b5ef19,OK,176,0.04,C:/work/batch_runner/data/csv/oracle/local/A/a2_202302.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202303,20e6ece6e88dda4dde44d9e193b5ef19,OK,358,0.04,C:/work/batch_runner/data/csv/oracle/local/A/a2_202303.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202304,20e6ece6e88dda4dde44d9e193b5ef19,OK,538,0.04,C:/work/batch_runner/data/csv/oracle/local/A/a2_202304.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202305,20e6ece6e88dda4dde44d9e193b5ef19,OK,732,0.04,C:/work/batch_runner/data/csv/oracle/local/A/a2_202305.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202306,20e6ece6e88dda4dde44d9e193b5ef19,OK,904,0.05,C:/work/batch_runner/data/csv/oracle/local/A/a2_202306.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202307,20e6ece6e88dda4dde44d9e193b5ef19,OK,1106,0.05,C:/work/batch_runner/data/csv/oracle/local/A/a2_202307.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202308,20e6ece6e88dda4dde44d9e193b5ef19,OK,1294,0.05,C:/work/batch_runner/data/csv/oracle/local/A/a2_202308.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202309,20e6ece6e88dda4dde44d9e193b5ef19,OK,1456,0.05,C:/work/batch_runner/data/csv/oracle/local/A/a2_202309.csv.gz,
20260211,local,oracle/local/A/a2.sql,clsYymm=202311,20e6ece6e88dda4dde44d9e193b5ef19,OK,1745,0.05,C:/work/batch_runner/data/csv/oracle/local/A/a2_202311.csv.gz,
